# #1(p) 2(cnum) 3(comp1) 4(comp2) 5(avg_csizes) 6(avg_fcsizes) 7(P)
1.381526104417670582e-03 2.070120000000000005e+02 5.554000000000000270e+00 4.253999999999999559e+00 1.517039999999999500e+00 1.384552000000001115e+00 5.577360000000001428e+00
1.413654618473895661e-03 2.060120000000000005e+02 5.690000000000000391e+00 4.330000000000000071e+00 1.536735999999998548e+00 1.397256000000000276e+00 5.707000000000001627e+00
1.445783132530120522e-03 2.050120000000000005e+02 5.775999999999999801e+00 4.389999999999999680e+00 1.554399999999997783e+00 1.410512000000000432e+00 5.808799999999998853e+00
1.477911646586345384e-03 2.040120000000000005e+02 5.873999999999999666e+00 4.450000000000000178e+00 1.571919999999997541e+00 1.423288000000002107e+00 5.916679999999996831e+00
1.510040160642570246e-03 2.030120000000000005e+02 6.001999999999999780e+00 4.514000000000000234e+00 1.591183999999998377e+00 1.435672000000000059e+00 6.046751999999999683e+00
1.542168674698795108e-03 2.020140000000000100e+02 6.115999999999999659e+00 4.597999999999999865e+00 1.611695999999995355e+00 1.449936000000001890e+00 6.137807999999997044e+00
1.574297188755020187e-03 2.010140000000000100e+02 6.251999999999999780e+00 4.668000000000000149e+00 1.632431999999996552e+00 1.463231999999999422e+00 6.275424000000001001e+00
1.606425702811245049e-03 2.000140000000000100e+02 6.370000000000000107e+00 4.746000000000000441e+00 1.653567999999997040e+00 1.477400000000001823e+00 6.394032000000002824e+00
1.638554216867469911e-03 1.990159999999999911e+02 6.488000000000000433e+00 4.825999999999999623e+00 1.674943999999995548e+00 1.491663999999998991e+00 6.497960000000000846e+00
1.670682730923694773e-03 1.980159999999999911e+02 6.655999999999999694e+00 4.894000000000000128e+00 1.698335999999997181e+00 1.505264000000000379e+00 6.683504000000002776e+00
1.702811244979919635e-03 1.970159999999999911e+02 6.716000000000000192e+00 4.988000000000000433e+00 1.718271999999994915e+00 1.521839999999999193e+00 6.738424000000000191e+00
1.734939759036144497e-03 1.960200000000000102e+02 6.817999999999999616e+00 5.078000000000000291e+00 1.740399999999996616e+00 1.537319999999999132e+00 6.827007999999999299e+00
1.767068273092369576e-03 1.950219999999999914e+02 6.929999999999999716e+00 5.150000000000000355e+00 1.761791999999996028e+00 1.552471999999999408e+00 6.946832000000008556e+00
1.799196787148594438e-03 1.940219999999999914e+02 7.057999999999999829e+00 5.248000000000000220e+00 1.786335999999995927e+00 1.568920000000000092e+00 7.073192000000000590e+00
1.831325301204819300e-03 1.930219999999999914e+02 7.185999999999999943e+00 5.336000000000000298e+00 1.810367999999997313e+00 1.584936000000000123e+00 7.212208000000003061e+00
1.863453815261044162e-03 1.920219999999999914e+02 7.309999999999999609e+00 5.435999999999999943e+00 1.835023999999997546e+00 1.602312000000000625e+00 7.330335999999997298e+00
1.895582329317269023e-03 1.910260000000000105e+02 7.451999999999999957e+00 5.506000000000000227e+00 1.859727999999998271e+00 1.618095999999998424e+00 7.486711999999997147e+00
1.927710843373493885e-03 1.900279999999999916e+02 7.605999999999999872e+00 5.570000000000000284e+00 1.885679999999998913e+00 1.633703999999997825e+00 7.655943999999997196e+00
1.959839357429718747e-03 1.890300000000000011e+02 7.703999999999999737e+00 5.666000000000000369e+00 1.910431999999998576e+00 1.651696000000001607e+00 7.758215999999995560e+00
1.991967871485943609e-03 1.880300000000000011e+02 7.830000000000000071e+00 5.783999999999999808e+00 1.938799999999997414e+00 1.671511999999998777e+00 7.889304000000000983e+00
