# #1(p) 2(cnum) 3(comp1) 4(comp2) 5(avg_csizes) 6(avg_fcsizes) 7(P)
1.158333333333333298e-01 4.861019999999999754e+02 6.472000000000000419e+00 5.458000000000000185e+00 1.659481600000000556e+00 1.589247999999999994e+00 2.588787199999999178e+00
1.166666666666666685e-01 4.851080000000000041e+02 6.498000000000000220e+00 5.500000000000000000e+00 1.666790399999999561e+00 1.596041600000000393e+00 2.597068799999999733e+00
1.174999999999999933e-01 4.841080000000000041e+02 6.541999999999999815e+00 5.522000000000000242e+00 1.673766399999998766e+00 1.601961599999999875e+00 2.621804799999998270e+00
1.183333333333333320e-01 4.831100000000000136e+02 6.581999999999999851e+00 5.554000000000000270e+00 1.681011200000000372e+00 1.608284799999999404e+00 2.641593600000000652e+00
1.191666666666666707e-01 4.821179999999999950e+02 6.639999999999999680e+00 5.580000000000000071e+00 1.688172800000000029e+00 1.614163199999998577e+00 2.663881600000000738e+00
1.199999999999999956e-01 4.811240000000000236e+02 6.690000000000000391e+00 5.623999999999999666e+00 1.695475200000000404e+00 1.620284800000000747e+00 2.683974400000000760e+00
1.208333333333333343e-01 4.801259999999999764e+02 6.719999999999999751e+00 5.639999999999999680e+00 1.702611199999999769e+00 1.626771200000000972e+00 2.692371199999999742e+00
1.216666666666666730e-01 4.791259999999999764e+02 6.767999999999999794e+00 5.660000000000000142e+00 1.709580800000000567e+00 1.632620800000000205e+00 2.713603199999999660e+00
1.224999999999999978e-01 4.781259999999999764e+02 6.791999999999999815e+00 5.703999999999999737e+00 1.717088000000000392e+00 1.639577600000001967e+00 2.721967999999999055e+00
1.233333333333333365e-01 4.771299999999999955e+02 6.844000000000000306e+00 5.719999999999999751e+00 1.724211200000000943e+00 1.645472000000000490e+00 2.749155200000000132e+00
1.241666666666666613e-01 4.761299999999999955e+02 6.887999999999999901e+00 5.740000000000000213e+00 1.731443199999999738e+00 1.651596800000000309e+00 2.771167999999998965e+00
1.250000000000000000e-01 4.751340000000000146e+02 6.913999999999999702e+00 5.769999999999999574e+00 1.738617599999997765e+00 1.658166400000001151e+00 2.781971199999999200e+00
1.258333333333333248e-01 4.741419999999999959e+02 6.974000000000000199e+00 5.806000000000000050e+00 1.746508799999998862e+00 1.664604799999998885e+00 2.802028799999998654e+00
1.266666666666666774e-01 4.731460000000000150e+02 7.006000000000000227e+00 5.841999999999999638e+00 1.753798400000000646e+00 1.671164799999999451e+00 2.814924799999999117e+00
1.275000000000000022e-01 4.721499999999999773e+02 7.049999999999999822e+00 5.879999999999999893e+00 1.761068800000002321e+00 1.677443200000001911e+00 2.831916800000000567e+00
1.283333333333333270e-01 4.711580000000000155e+02 7.088000000000000078e+00 5.916000000000000369e+00 1.768780800000001818e+00 1.684300800000002818e+00 2.845702400000000409e+00
1.291666666666666796e-01 4.701680000000000064e+02 7.115999999999999659e+00 5.935999999999999943e+00 1.775961600000001805e+00 1.690867200000002457e+00 2.851008000000001541e+00
1.300000000000000044e-01 4.691759999999999877e+02 7.147999999999999687e+00 5.975999999999999979e+00 1.783532799999999696e+00 1.697689600000001020e+00 2.863535999999999415e+00
