# t er pr apr br abr
5.000000000000000000e+01 2.169000000000000000e+03 2.792000000000000000e+03 1.482000000000000000e+03 2.000000000000000000e+00 5.100000000000000000e+01
5.100000000000000000e+01 2.192000000000000000e+03 2.830000000000000000e+03 1.493000000000000000e+03 2.000000000000000000e+00 5.200000000000000000e+01
5.200000000000000000e+01 2.216000000000000000e+03 2.899000000000000000e+03 1.497000000000000000e+03 2.000000000000000000e+00 5.300000000000000000e+01
5.300000000000000000e+01 2.236000000000000000e+03 2.950000000000000000e+03 1.505000000000000000e+03 2.000000000000000000e+00 5.400000000000000000e+01
5.400000000000000000e+01 2.257000000000000000e+03 2.991000000000000000e+03 1.511000000000000000e+03 2.000000000000000000e+00 5.500000000000000000e+01
5.500000000000000000e+01 2.284000000000000000e+03 3.046000000000000000e+03 1.519000000000000000e+03 2.000000000000000000e+00 5.600000000000000000e+01
5.600000000000000000e+01 2.303000000000000000e+03 3.085000000000000000e+03 1.523000000000000000e+03 2.000000000000000000e+00 5.700000000000000000e+01
5.700000000000000000e+01 2.322000000000000000e+03 3.131000000000000000e+03 1.530000000000000000e+03 2.000000000000000000e+00 5.800000000000000000e+01
5.800000000000000000e+01 2.343000000000000000e+03 3.179000000000000000e+03 1.535000000000000000e+03 2.000000000000000000e+00 5.900000000000000000e+01
5.900000000000000000e+01 2.374000000000000000e+03 3.245000000000000000e+03 1.547000000000000000e+03 2.000000000000000000e+00 6.000000000000000000e+01
6.000000000000000000e+01 2.399000000000000000e+03 3.297000000000000000e+03 1.550000000000000000e+03 2.000000000000000000e+00 6.100000000000000000e+01
6.100000000000000000e+01 2.419000000000000000e+03 3.355000000000000000e+03 1.557000000000000000e+03 2.000000000000000000e+00 6.200000000000000000e+01
6.200000000000000000e+01 2.444000000000000000e+03 3.413000000000000000e+03 1.560000000000000000e+03 2.000000000000000000e+00 6.300000000000000000e+01
6.300000000000000000e+01 2.468000000000000000e+03 3.466000000000000000e+03 1.566000000000000000e+03 2.000000000000000000e+00 6.400000000000000000e+01
6.400000000000000000e+01 2.493000000000000000e+03 3.522000000000000000e+03 1.573000000000000000e+03 2.000000000000000000e+00 6.500000000000000000e+01
6.500000000000000000e+01 2.525000000000000000e+03 3.567000000000000000e+03 1.577000000000000000e+03 2.000000000000000000e+00 6.600000000000000000e+01
6.600000000000000000e+01 2.551000000000000000e+03 3.615000000000000000e+03 1.580000000000000000e+03 2.000000000000000000e+00 6.700000000000000000e+01
6.700000000000000000e+01 2.584000000000000000e+03 3.682000000000000000e+03 1.586000000000000000e+03 2.000000000000000000e+00 6.800000000000000000e+01
6.800000000000000000e+01 2.624000000000000000e+03 3.736000000000000000e+03 1.587000000000000000e+03 2.000000000000000000e+00 6.900000000000000000e+01
6.900000000000000000e+01 2.653000000000000000e+03 3.795000000000000000e+03 1.593000000000000000e+03 2.000000000000000000e+00 7.000000000000000000e+01
7.000000000000000000e+01 2.691000000000000000e+03 3.862000000000000000e+03 1.599000000000000000e+03 2.000000000000000000e+00 7.100000000000000000e+01
7.100000000000000000e+01 2.727000000000000000e+03 3.920000000000000000e+03 1.605000000000000000e+03 2.000000000000000000e+00 7.200000000000000000e+01
7.200000000000000000e+01 2.748000000000000000e+03 3.970000000000000000e+03 1.612000000000000000e+03 2.000000000000000000e+00 7.300000000000000000e+01
7.300000000000000000e+01 2.771000000000000000e+03 4.032000000000000000e+03 1.618000000000000000e+03 2.000000000000000000e+00 7.400000000000000000e+01
7.400000000000000000e+01 2.795000000000000000e+03 4.100000000000000000e+03 1.627000000000000000e+03 2.000000000000000000e+00 7.500000000000000000e+01
7.500000000000000000e+01 2.833000000000000000e+03 4.152000000000000000e+03 1.634000000000000000e+03 2.000000000000000000e+00 7.600000000000000000e+01
7.600000000000000000e+01 2.871000000000000000e+03 4.227000000000000000e+03 1.641000000000000000e+03 2.000000000000000000e+00 7.700000000000000000e+01
7.700000000000000000e+01 2.893000000000000000e+03 4.276000000000000000e+03 1.650000000000000000e+03 2.000000000000000000e+00 7.800000000000000000e+01
7.800000000000000000e+01 2.936000000000000000e+03 4.369000000000000000e+03 1.661000000000000000e+03 2.000000000000000000e+00 7.900000000000000000e+01
7.900000000000000000e+01 2.978000000000000000e+03 4.450000000000000000e+03 1.664000000000000000e+03 2.000000000000000000e+00 8.000000000000000000e+01
8.000000000000000000e+01 3.027000000000000000e+03 4.522000000000000000e+03 1.672000000000000000e+03 2.000000000000000000e+00 8.100000000000000000e+01
8.100000000000000000e+01 3.061000000000000000e+03 4.610000000000000000e+03 1.681000000000000000e+03 2.000000000000000000e+00 8.200000000000000000e+01
8.200000000000000000e+01 3.092000000000000000e+03 4.682000000000000000e+03 1.695000000000000000e+03 2.000000000000000000e+00 8.300000000000000000e+01
8.300000000000000000e+01 3.117000000000000000e+03 4.779000000000000000e+03 1.704000000000000000e+03 2.000000000000000000e+00 8.400000000000000000e+01
8.400000000000000000e+01 3.149000000000000000e+03 4.853000000000000000e+03 1.710000000000000000e+03 2.000000000000000000e+00 8.500000000000000000e+01
8.500000000000000000e+01 3.190000000000000000e+03 4.930000000000000000e+03 1.718000000000000000e+03 2.000000000000000000e+00 8.600000000000000000e+01
8.600000000000000000e+01 3.221000000000000000e+03 4.996000000000000000e+03 1.724000000000000000e+03 2.000000000000000000e+00 8.700000000000000000e+01
8.700000000000000000e+01 3.243000000000000000e+03 5.056000000000000000e+03 1.730000000000000000e+03 2.000000000000000000e+00 8.800000000000000000e+01
8.800000000000000000e+01 3.264000000000000000e+03 5.140000000000000000e+03 1.739000000000000000e+03 2.000000000000000000e+00 8.900000000000000000e+01
8.900000000000000000e+01 3.320000000000000000e+03 5.251000000000000000e+03 1.747000000000000000e+03 2.000000000000000000e+00 9.000000000000000000e+01
9.000000000000000000e+01 3.352000000000000000e+03 5.335000000000000000e+03 1.758000000000000000e+03 2.000000000000000000e+00 9.100000000000000000e+01
9.100000000000000000e+01 3.379000000000000000e+03 5.458000000000000000e+03 1.768000000000000000e+03 2.000000000000000000e+00 9.200000000000000000e+01
9.200000000000000000e+01 3.425000000000000000e+03 5.533000000000000000e+03 1.774000000000000000e+03 2.000000000000000000e+00 9.300000000000000000e+01
9.300000000000000000e+01 3.462000000000000000e+03 5.612000000000000000e+03 1.787000000000000000e+03 2.000000000000000000e+00 9.400000000000000000e+01
9.400000000000000000e+01 3.490000000000000000e+03 5.703000000000000000e+03 1.800000000000000000e+03 2.000000000000000000e+00 9.500000000000000000e+01
9.500000000000000000e+01 3.530000000000000000e+03 5.810000000000000000e+03 1.810000000000000000e+03 2.000000000000000000e+00 9.600000000000000000e+01
9.600000000000000000e+01 3.573000000000000000e+03 5.914000000000000000e+03 1.827000000000000000e+03 2.000000000000000000e+00 9.700000000000000000e+01
9.700000000000000000e+01 3.592000000000000000e+03 6.007000000000000000e+03 1.840000000000000000e+03 2.000000000000000000e+00 9.800000000000000000e+01
9.800000000000000000e+01 3.649000000000000000e+03 6.148000000000000000e+03 1.857000000000000000e+03 2.000000000000000000e+00 9.900000000000000000e+01
9.900000000000000000e+01 3.693000000000000000e+03 6.267000000000000000e+03 1.865000000000000000e+03 2.000000000000000000e+00 1.000000000000000000e+02
1.000000000000000000e+02 3.730000000000000000e+03 6.365000000000000000e+03 1.875000000000000000e+03 2.000000000000000000e+00 1.010000000000000000e+02
1.010000000000000000e+02 3.776000000000000000e+03 6.485000000000000000e+03 1.888000000000000000e+03 2.000000000000000000e+00 1.020000000000000000e+02
1.020000000000000000e+02 3.816000000000000000e+03 6.577000000000000000e+03 1.901000000000000000e+03 2.000000000000000000e+00 1.030000000000000000e+02
1.030000000000000000e+02 3.848000000000000000e+03 6.690000000000000000e+03 1.913000000000000000e+03 2.000000000000000000e+00 1.040000000000000000e+02
1.040000000000000000e+02 3.885000000000000000e+03 6.802000000000000000e+03 1.927000000000000000e+03 2.000000000000000000e+00 1.050000000000000000e+02
1.050000000000000000e+02 3.929000000000000000e+03 6.917000000000000000e+03 1.939000000000000000e+03 2.000000000000000000e+00 1.060000000000000000e+02
1.060000000000000000e+02 3.981000000000000000e+03 7.016000000000000000e+03 1.951000000000000000e+03 2.000000000000000000e+00 1.070000000000000000e+02
1.070000000000000000e+02 4.042000000000000000e+03 7.139000000000000000e+03 1.965000000000000000e+03 2.000000000000000000e+00 1.080000000000000000e+02
1.080000000000000000e+02 4.081000000000000000e+03 7.266000000000000000e+03 1.980000000000000000e+03 2.000000000000000000e+00 1.090000000000000000e+02
1.090000000000000000e+02 4.123000000000000000e+03 7.397000000000000000e+03 1.989000000000000000e+03 2.000000000000000000e+00 1.100000000000000000e+02
1.100000000000000000e+02 4.187000000000000000e+03 7.519000000000000000e+03 2.009000000000000000e+03 2.000000000000000000e+00 1.110000000000000000e+02
1.110000000000000000e+02 4.219000000000000000e+03 7.651000000000000000e+03 2.022000000000000000e+03 2.000000000000000000e+00 1.120000000000000000e+02
1.120000000000000000e+02 4.259000000000000000e+03 7.779000000000000000e+03 2.028000000000000000e+03 2.000000000000000000e+00 1.130000000000000000e+02
1.130000000000000000e+02 4.349000000000000000e+03 7.929000000000000000e+03 2.032000000000000000e+03 2.000000000000000000e+00 1.140000000000000000e+02
1.140000000000000000e+02 4.383000000000000000e+03 8.079000000000000000e+03 2.044000000000000000e+03 2.000000000000000000e+00 1.150000000000000000e+02
1.150000000000000000e+02 4.421000000000000000e+03 8.253000000000000000e+03 2.054000000000000000e+03 2.000000000000000000e+00 1.160000000000000000e+02
1.160000000000000000e+02 4.461000000000000000e+03 8.401000000000000000e+03 2.061000000000000000e+03 2.000000000000000000e+00 1.170000000000000000e+02
1.170000000000000000e+02 4.514000000000000000e+03 8.546000000000000000e+03 2.078000000000000000e+03 2.000000000000000000e+00 1.180000000000000000e+02
1.180000000000000000e+02 4.576000000000000000e+03 8.657000000000000000e+03 2.086000000000000000e+03 2.000000000000000000e+00 1.190000000000000000e+02
1.190000000000000000e+02 4.623000000000000000e+03 8.810000000000000000e+03 2.096000000000000000e+03 2.000000000000000000e+00 1.200000000000000000e+02
1.200000000000000000e+02 4.671000000000000000e+03 8.958000000000000000e+03 2.104000000000000000e+03 2.000000000000000000e+00 1.210000000000000000e+02
1.210000000000000000e+02 4.739000000000000000e+03 9.121000000000000000e+03 2.117000000000000000e+03 2.000000000000000000e+00 1.220000000000000000e+02
1.220000000000000000e+02 4.796000000000000000e+03 9.292000000000000000e+03 2.123000000000000000e+03 2.000000000000000000e+00 1.230000000000000000e+02
1.230000000000000000e+02 4.832000000000000000e+03 9.466000000000000000e+03 2.132000000000000000e+03 2.000000000000000000e+00 1.240000000000000000e+02
1.240000000000000000e+02 4.873000000000000000e+03 9.668000000000000000e+03 2.145000000000000000e+03 2.000000000000000000e+00 1.250000000000000000e+02
1.250000000000000000e+02 4.923000000000000000e+03 9.799000000000000000e+03 2.152000000000000000e+03 2.000000000000000000e+00 1.260000000000000000e+02
